ms_today;input_voltage;temp_mos_max;temp_mos_1;temp_mos_2;temp_mos_3;temp_motor;current_motor;current_in;d_axis_current;q_axis_current;erpm;duty_cycle;amp_hours_used;amp_hours_charged;watt_hours_used;watt_hours_charged;tachometer;tachometer_abs;encoder_position;fault_code;vesc_id;d_axis_voltage;q_axis_voltage;ms_today_setup;amp_hours_setup;amp_hours_charged_setup;watt_hours_setup;watt_hours_charged_setup;battery_level;battery_wh_tot;current_in_setup;current_motor_setup;speed_meters_per_sec;tacho_meters;tacho_abs_meters;num_vescs;ms_today_imu;roll;pitch;yaw;accX;accY;accZ;gyroX;gyroY;gyroZ;gnss_posTime;gnss_lat;gnss_lon;gnss_alt;gnss_gVel;gnss_vVel;gnss_hAcc;gnss_vAcc;
62166050;54.9;26.1;0;0;0;33.6;2.23;0.5;0;2.23;0;0;0.7239;0.0402;37.2281;2.241;169345;169783;230.4;0;1;-0.034;2.522;62114502;0.7118;0.0402;36.5676;2.241;0.663;175.279;0;0;0;364.411;365.344;1;62114502;0;0.131409;0;0;0;0;0;0;0;62166000;38.23490568;-122.62970846;-21.34948730;0.00000000;0.00000000;3.79622889;3.00000000;
62166102;54.9;26.1;0;0;0;33.6;0;0;0;0;0;0;0.7239;0.0402;37.2281;2.241;169345;169783;230.4;0;1;0.025;-0.016;62166051;0.7239;0.0402;37.2281;2.241;0.67;177.01;0;0;0;379.689;380.671;1;62166068;-0.95815;0.0353563;2.74126;-0.0366211;0.774902;0.545898;0.12207;0.183105;-0.915527;62166000;38.23490568;-122.62970846;-21.34948730;0.00000000;0.00000000;3.79622889;3.00000000;
62166151;54.9;26.1;0;0;0;33.6;0;0;0;0;0;-0.001;0.7239;0.0402;37.2281;2.241;169345;169783;230.4;0;1;0.026;-0.018;62166118;0.7239;0.0402;37.2281;2.241;0.67;177.011;0;0;0;379.689;380.671;1;62166118;-0.956945;0.0378835;2.74161;-0.0356445;0.774902;0.548828;0.0610352;0.427246;-1.09863;62166000;38.23490568;-122.62970846;-21.34948730;0.00000000;0.00000000;3.79622889;3.00000000;
62166234;54.9;26.1;0;0;0;33.6;0;0;0;0;0;-0.001;0.7239;0.0402;37.2281;2.241;169345;169783;230.4;0;1;0.026;-0.018;62166152;0.7239;0.0402;37.2281;2.241;0.67;177.009;0;0;0;379.689;380.671;1;62166156;-0.956685;0.0405362;2.74186;-0.0415039;0.777832;0.549316;0.12207;0.427246;-1.09863;62166000;38.23490568;-122.62970846;-21.34948730;0.00000000;0.00000000;3.79622889;3.00000000;
62166317;54.9;26.1;0;0;0;33.6;0;0;0;0;0;-0.001;0.7239;0.0402;37.2281;2.241;169345;169783;230.4;0;1;0.028;-0.021;62166234;0.7239;0.0402;37.2281;2.241;0.67;177.015;0;0;0;379.689;380.671;1;62166234;-0.95656;0.0426812;2.74217;-0.0424805;0.775879;0.549805;0.12207;0.305176;-0.976563;62166000;38.23490568;-122.62970846;-21.34948730;0.00000000;0.00000000;3.79622889;3.00000000;
62166351;54.9;26.1;0;0;0;33.6;0;0;0;0;0;-0.001;0.7239;0.0402;37.2281;2.241;169345;169783;230.4;0;1;0.026;-0.016;62166321;0.7239;0.0402;37.2281;2.241;0.67;177.016;0;0;0;379.689;380.671;1;62166321;-0.95916;0.0493886;2.74244;-0.0473633;0.777344;0.540527;0.0610352;0.305176;-0.793457;62166000;38.23490568;-122.62970846;-21.34948730;0.00000000;0.00000000;3.79622889;3.00000000;
62166436;54.9;26.1;0;0;0;33.6;0;0;0;0;0;0;0.7239;0.0402;37.2281;2.241;169345;169783;230.4;0;1;0.02;-0.007;62166321;0.7239;0.0402;37.2281;2.241;0.67;177.016;0;0;0;379.689;380.671;1;62166321;-0.95916;0.0493886;2.74244;-0.0473633;0.777344;0.540527;0.0610352;0.305176;-0.793457;62166000;38.23490568;-122.62970846;-21.34948730;0.00000000;0.00000000;3.79622889;3.00000000;
62166517;54.9;26.1;0;0;0;33.6;0;0;0;0;0;0;0.7239;0.0402;37.2281;2.241;169346;169784;286.2;0;1;0.008;-0.006;62166437;0.7239;0.0402;37.2281;2.241;0.67;177.022;0;0;0;379.689;380.671;1;62166441;-0.968199;0.0448775;2.74237;-0.0405273;0.782715;0.537598;0.183105;-0.244141;-0.427246;62166000;38.23490568;-122.62970846;-21.34948730;0.00000000;0.00000000;3.79622889;3.00000000;
62166591;54.9;26.1;0;0;0;33.6;0;0;0;0;0;-0.001;0.7239;0.0402;37.2281;2.241;169346;169784;286.2;0;1;-0.001;-0.033;62166518;0.7239;0.0402;37.2281;2.241;0.67;177.028;0;0;0;379.691;380.673;1;62166518;-0.964538;0.0492824;2.7432;-0.043457;0.76123;0.552246;0.12207;-0.244141;-0.0610352;62166000;38.23490568;-122.62970846;-21.34948730;0.00000000;0.00000000;3.79622889;3.00000000;
62166637;54.9;26.1;0;0;0;33.6;0;0;0;0;0;-0.002;0.7239;0.0402;37.2281;2.241;169346;169784;286.2;0;1;-0.013;-0.073;62166591;0.7239;0.0402;37.2281;2.241;0.67;177.025;0;0;0;379.691;380.673;1;62166606;-0.952861;0.0491491;2.74435;-0.0410156;0.757324;0.569824;0.305176;-0.305176;0.549316;62166000;38.23490568;-122.62970846;-21.34948730;0.00000000;0.00000000;3.79622889;3.00000000;
62166730;54.9;26.1;0;0;0;33.6;0;0;0;0;-100;-0.004;0.7239;0.0402;37.2281;2.241;169345;169785;230.4;0;1;0.011;-0.092;62166637;0.7239;0.0402;37.2281;2.241;0.67;177.032;0;0;0;379.691;380.673;1;62166651;-0.947746;0.0485787;2.74446;-0.0405273;0.771484;0.565918;0.427246;-0.12207;0.671387;62166000;38.23490568;-122.62970846;-21.34948730;0.00000000;0.00000000;3.79622889;3.00000000;
